
2024/11/20 (21:07:19) | ===> btop++ v.1.4.0
2024/11/20 (21:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (21:08:51) | ===> btop++ v.1.4.0
2024/11/20 (21:08:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (23:12:26) | ===> btop++ v.1.4.0
2024/11/20 (23:12:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (14:41:45) | ===> btop++ v.1.4.0
2024/11/23 (14:41:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (23:47:20) | ===> btop++ v.1.4.0
2024/11/28 (23:47:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (23:52:22) | ===> btop++ v.1.4.0
2024/11/28 (23:52:22) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/28 (23:55:26) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/11/28 (23:55:32) | ===> btop++ v.1.4.0
2024/11/28 (23:55:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (00:10:35) | ===> btop++ v.1.4.0
2024/11/29 (00:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (15:45:52) | ===> btop++ v.1.4.0
2024/12/02 (15:45:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (23:07:24) | ===> btop++ v.1.4.0
2024/12/04 (23:07:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (23:07:49) | ===> btop++ v.1.4.0
2024/12/04 (23:07:49) | WARNING: Intel GPU: Failed to initialize PMU
